Training Accuracy; Training Loss; Validation Accuracy; Validation Loss
0.692; 0.985; 0.667; 1.034
0.818; 0.570; 0.798; 0.621
0.867; 0.416; 0.826; 0.564
0.897; 0.316; 0.844; 0.513
0.932; 0.222; 0.883; 0.410
0.929; 0.221; 0.884; 0.430
0.942; 0.179; 0.888; 0.408
0.961; 0.129; 0.907; 0.364
0.960; 0.128; 0.895; 0.397
0.956; 0.135; 0.895; 0.401
0.967; 0.101; 0.905; 0.363
0.974; 0.081; 0.914; 0.333
0.975; 0.077; 0.922; 0.324
0.976; 0.075; 0.913; 0.381
0.979; 0.064; 0.919; 0.363
0.975; 0.074; 0.912; 0.362
0.983; 0.051; 0.919; 0.332
0.975; 0.073; 0.909; 0.422
0.980; 0.060; 0.921; 0.343
0.978; 0.064; 0.914; 0.390

